"","YearVar","region","summerSST_annualMean","summerSST_sd","summerSST_Z"
"1",1985,"EBS",5.84913043478261,2.71604093423243,-1.16070132257148
"2",1985,"NBS",5.4729347826087,3.27077721651835,-1.49295732521952
"3",1985,"SEBS",6.14423913043478,2.28970809296282,-0.900061320494209
"4",1986,"EBS",6.19728260869565,2.23785813182064,-0.853213320120836
"5",1986,"NBS",5.77152173913043,2.32264860880026,-1.22924532311777
"6",1986,"SEBS",6.53141304347826,2.18875677568904,-0.558109317768892
"7",1987,"EBS",6.97836956521739,2.55483049358107,-0.163357314622765
"8",1987,"NBS",6.07141304347826,2.92613294730819,-0.964381321006832
"9",1987,"SEBS",7.69184782608696,2.28098153604921,0.46678669039941
"10",1988,"EBS",6.39478260869565,2.13634661871584,-0.678781318730633
"11",1988,"NBS",5.735,2.30061506348404,-1.26150132337484
"12",1988,"SEBS",6.91423913043478,2.02382742265583,-0.219997315074179
"13",1989,"EBS",6.61847826086956,2.42348080193023,-0.48121331715604
"14",1989,"NBS",5.87260869565217,2.33435962914143,-1.13996532240622
"15",1989,"SEBS",7.20347826086957,2.51758712095731,0.0354586869617764
"16",1990,"EBS",7.24021739130435,2.121667381965,0.0679066872203826
"17",1990,"NBS",6.79163043478261,2.38583607902694,-0.328285315937221
"18",1990,"SEBS",7.59239130434783,1.93892083361968,0.378946689699335
"19",1991,"EBS",7.22695652173913,2.91468873392534,0.0561946871270397
"20",1991,"NBS",6.98728260869565,3.34245060563695,-0.155485314560025
"21",1991,"SEBS",7.41445652173913,2.61102706587814,0.221794688446852
"22",1992,"EBS",6.2645652173913,2.00153480287716,-0.793789319647234
"23",1992,"NBS",5.42119565217391,2.16869629262634,-1.53865332558371
"24",1992,"SEBS",6.92652173913043,1.91643008019324,-0.209149314987721
"25",1993,"EBS",7.22717391304348,1.85318515593265,0.0563866871285702
"26",1993,"NBS",6.47445652173913,2.15357222487643,-0.608413318169809
"27",1993,"SEBS",7.81804347826087,1.72956275941297,0.578242691287701
"28",1994,"EBS",6.1125,2.08376224888784,-0.928093320717621
"29",1994,"NBS",5.66152173913043,2.31724302594278,-1.32639732389206
"30",1994,"SEBS",6.46695652173913,1.92761866362997,-0.615037318222601
"31",1995,"EBS",6.79934782608696,2.12832380228147,-0.321469315882899
"32",1995,"NBS",6.36728260869565,2.43453093763206,-0.703069318924206
"33",1995,"SEBS",7.13836956521739,1.9034949216811,-0.0220453134965242
"34",1996,"EBS",6.85065217391304,1.85642561216756,-0.276157315521767
"35",1996,"NBS",6.43510869565217,2.18059196245807,-0.643165318446778
"36",1996,"SEBS",7.17641304347826,1.62496091687353,0.0115546867712643
"37",1997,"EBS",7.79630434782609,2.02590840695908,0.55904269113468
"38",1997,"NBS",6.98739130434783,2.32717244343044,-0.15538931455926
"39",1997,"SEBS",8.43184782608696,1.82423967563778,1.12035469560827
"40",1998,"EBS",6.49304347826087,2.4118725291752,-0.591997318038975
"41",1998,"NBS",5.71728260869565,2.67777548454464,-1.27714932349956
"42",1998,"SEBS",7.1025,2.2287145188636,-0.0537253137490099
"43",1999,"EBS",5.57978260869565,2.25708310171466,-1.39858932446742
"44",1999,"NBS",5.01728260869565,2.56344767124486,-1.89538932842686
"45",1999,"SEBS",6.02152173913043,2.03187562069723,-1.00844532135802
"46",2000,"EBS",6.86565217391304,2.25838330989025,-0.262909315416182
"47",2000,"NBS",6.29010869565217,2.69367533330248,-0.771229319467433
"48",2000,"SEBS",7.3179347826087,1.94942061724829,0.136546687767435
"49",2001,"EBS",6.27945652173913,2.21717143043451,-0.780637319542413
"50",2001,"NBS",5.26739130434783,2.55199463878886,-1.67449332666634
"51",2001,"SEBS",7.07445652173913,1.98797503916187,-0.0784933139464078
"52",2002,"EBS",7.95315217391304,2.49634366881893,0.697570692238731
"53",2002,"NBS",7.21467391304348,2.80993193421413,0.0453466870405825
"54",2002,"SEBS",8.53304347826087,2.26789137632122,1.20973069632059
"55",2003,"EBS",8.12489130434783,2.06912546933134,0.849250693447604
"56",2003,"NBS",7.33902173913043,2.45332027081068,0.155170687915867
"57",2003,"SEBS",8.74217391304348,1.78523297096784,1.39443469779266
"58",2004,"EBS",8.9925,2.55357823713839,1.6155226995547
"59",2004,"NBS",8.67945652173913,2.93782619947278,1.33904269735119
"60",2004,"SEBS",9.23804347826087,2.27360982238873,1.83238670128308
"61",2005,"EBS",8.32304347826087,2.24294338561095,1.0242586948424
"62",2005,"NBS",7.50641304347826,2.55742598166518,0.303010689094135
"63",2005,"SEBS",8.96554347826087,2.02490773857409,1.59171469936495
"64",2006,"EBS",6.66684782608696,2.37503125686676,-0.438493316815566
"65",2006,"NBS",5.93902173913043,2.79037358552129,-1.08130932193873
"66",2006,"SEBS",7.23934782608696,2.0605567392066,0.0671386872142621
"67",2007,"EBS",7.31554347826087,2.72392346479208,0.134434687750604
"68",2007,"NBS",7.59021739130435,3.0792385166355,0.377026689684033
"69",2007,"SEBS",7.10108695652174,2.47687389667859,-0.0549733137589559
"70",2008,"EBS",6.14510869565217,2.57286067947091,-0.899293320488088
"71",2008,"NBS",5.87989130434783,2.54370435707204,-1.13353332235495
"72",2008,"SEBS",6.35434782608696,2.63071932850691,-0.714493319015253
"73",2009,"EBS",6.3975,2.34428724611718,-0.676381318711506
"74",2009,"NBS",5.72891304347826,2.62334676626856,-1.26687732341769
"75",2009,"SEBS",6.92434782608696,2.14290667564985,-0.211069315003024
"76",2010,"EBS",6.37445652173913,2.76221020125027,-0.696733318873709
"77",2010,"NBS",6.31847826086956,3.12960129285976,-0.74617331926774
"78",2010,"SEBS",6.41891304347826,2.48495758317072,-0.657469318560779
"79",2011,"EBS",6.07836956521739,1.97479573414341,-0.958237320957865
"80",2011,"NBS",5.54021739130435,2.01615125580588,-1.43353332474592
"81",2011,"SEBS",6.50108695652174,1.98746868467789,-0.584893317982357
"82",2012,"EBS",6.23630434782609,2.51352504863007,-0.818749319846162
"83",2012,"NBS",6.17369565217391,2.74299215680406,-0.874045320286865
"84",2012,"SEBS",6.2854347826087,2.38579238480473,-0.775357319500333
"85",2013,"EBS",6.97913043478261,2.7290064416604,-0.162685314617408
"86",2013,"NBS",6.67065217391304,2.81109528704602,-0.435133316788787
"87",2013,"SEBS",7.22065217391304,2.69226111283166,0.0506266870826632
"88",2014,"EBS",8.27358695652174,2.79698290412756,0.980578694494273
"89",2014,"NBS",7.41184782608696,3.12953984236345,0.21949068842849
"90",2014,"SEBS",8.95010869565217,2.56552095884115,1.57808269925631
"91",2015,"EBS",7.64445652173913,1.94120805489123,0.424930690065822
"92",2015,"NBS",6.66760869565217,2.13824071135683,-0.43782131681021
"93",2015,"SEBS",8.41282608695652,1.83218318466499,1.10355469547438
"94",2016,"EBS",9.44358695652174,2.07891908807752,2.0139227027299
"95",2016,"NBS",8.29347826086956,2.36384462161256,0.998146694634287
"96",2016,"SEBS",10.3473913043478,1.90078460928969,2.81216270909178
"97",2017,"EBS",8.45695652173913,1.84603688313995,1.14253069578501
"98",2017,"NBS",8.31630434782609,1.89876288087351,1.01830669479496
"99",2017,"SEBS",8.56739130434783,1.84112654808881,1.24006669656236
"100",2018,"EBS",8.31152173913043,1.78865283874322,1.01408269476129
"101",2018,"NBS",8.28782608695652,2.1728660498339,0.993154694594501
"102",2018,"SEBS",8.33130434782609,1.5088990363702,1.03155469490055
"103",2019,"EBS",9.95760869565217,2.07533837811086,2.4679067063481
"104",2019,"NBS",9.25304347826087,2.15797561786959,1.84563470138867
"105",2019,"SEBS",10.5107608695652,2.10121954839086,2.95645071024174
"106",2020,"EBS",9.08304347826087,2.02415617427833,1.69549070019204
"107",2020,"NBS",8.52369565217391,2.0703902681375,1.20147469625479
"108",2020,"SEBS",9.52163043478261,2.02727949420769,2.08285070327925
"109",2021,"EBS",7.88597826086956,2.1246238502419,0.638242691765894
"110",2021,"NBS",6.95489130434783,2.30784781268544,-0.184093314788028
"111",2021,"SEBS",8.61815217391304,2.02097187443269,1.28489869691967
"112",2022,"EBS",7.55804347826087,1.60856720022799,0.348610689457561
"113",2022,"NBS",6.95760869565217,1.91813861784966,-0.1816933147689
"114",2022,"SEBS",8.02934782608696,1.40229858740462,0.764866692775073
"115",2023,"EBS",7.1025,2.44837493761982,-0.0537253137490099
"116",2023,"NBS",6.37695652173913,2.64386569255828,-0.694525318856111
"117",2023,"SEBS",7.67152173913043,2.33560116965591,0.448834690256334
